Class	Descriptions	Notes
Knight	The Barbarian class is the workhorse fighting class.  Barbarians start with the largest selection of weapons and armor, and may ultimately use any type of weapon or armor, Being the toughest warriors of the classes, Barbarians begin with the greatest number of hit points and get the most number of hit points when they advance in level.  Barbarians may never learn spells, nor may they ever learn (or need) the Meditation skill.	Barbarian
Cavalier	The Slayer class is the first promotion of the Barbarian.  Slayers may use any type of weapon or armor, but they may not learn spells.  Slayers enjoy the benefit of an extra two hit points per level, and can be promoted once more to either Champion or Black Barbarian status with another two hit point per level gain.  	Barbarian
Champion	The Chieftain class is the second and last promotion of Barbarians who follow the path of Light.  Chieftains may use any type of weapon or armor, but they may not learn spells.  Chieftains enjoy the benefit of an extra four hit points per level.  Chieftains can grandmaster in the Plate, Shield, Sword, and Spear skills.	Barbarian
Black Barbarian	The Executor is the second and last promotion of Barbarians who follow the path of Darkness.  Executors may use any type of weapon or armor, but they may not learn spells.  Executors enjoy the benefit of an extra four hit points per level.  Executors may grandmaster in the Plate, Shield Sword, and Spear skills.	Barbarian
Pirate	The Pirate class concentrates less on fighting and more on utility skills, such as disarming traps and stealing.  Although they aren't as good with weapons and armor as Barbarians, Thieves are still better fighters than the semi and full spell using classes.  Thieves may eventually use spells from the Elemental schools, but they will never be very good at them.	Pirate
Corsair	The Corsair class is the first promotion from Pirate.  Corsairs get an additional 2 hit points per level.  They also gain the ability to cast spells and one spell point per level to do it with.	Pirate
Captain	The Captain class is the final promotion for thieves following the path of Light.  Spies gain two more hit points per level and can grandmaster in Leather, Dagger, Disarm Traps, and Steal.	Pirate
Hexblade	The Hexblade class is the final promotion for thieves following the path of Darkness.  Hexblades gain two more hit points per level and can grandmaster in Leather, Dagger, Disarm Traps, and Steal.	Pirate
Private	Privates concentrate on unarmed combat.  Private are second only to Barbarians in combat, and they have access to spells from the Shamanal schools (Spirit, Mind, and Body) of magic when they are promoted to Initiate.	Mercenary
Major	Major is the first promotion of the Monk class.  Majors gain an additional hit point and spell point per level, as well as the ability to cast spells from the Shamanal schools of magic.	Mercenary
General	General is the final promotion for Private following the path of Light. Private gain 2 more hit points per level and may become experts in their magical skills.  Private may grandGeneral in Dodge, Unarmed combat, Staff, Learning, and Body Building.	Mercenary
Warlord 	Warlord is the final promotion for Private following the path of Darkness. Warlords gain 2 more hit points per level may grandGeneral in Dodge, Unarmed combat, Staff, Learning, and Body Building.	Mercenary
Guardian	A cross between Barbarian and Shaman, Guardians perform both roles well, but not as well as the more focused classes they borrow from.  Like Barbarians, Guardian can learn to use any type of weapon or armor, although they don’t have as many choices to begin with.  Guardian also begin with the Spirit realm of magic, and can also learn to use the Shamanal Mind and Body realms.  Their skill in the greater realms of Light and Dark is sharply limited, and they may never learn any of the Elemental realms.	Guardian
