	Map Stats			First					x5	D20's		Random Encounter																					
			Reset	Visit	Per	Refil	Alert	Steal	Lock	Trap	Tres	Enc	M1	M2	M3			Dif	Appear			Dif	Appear			Dif	Appear	Redbook					
#	Name	File name	#	Day	0-20	Days	Days	Perm	0-20	0-10	0-6	%	%	%	%	Mon1 Pic	Mon 1	 1-5	#	Mon2 Pic	Mon 2	 1-5	#	Mon3 Pic	Mon 3	 1-5	#	Track	EAX Environments	Map Designer	Notes	in area	
1	Emerald Island	Out01.Odm	0	0	0	14	7	15	0	1	0	15	0	0	100	Dragonfly	Dragonfly	1	 3-6	0	0	1	 1-3	0	0	1	 1-3	20	FOREST	0	Training Island--Lush, tropical island		x
2	Harmondale	Out02.Odm	0	0	2	84	7	1	2	1	0	15	100	0	0	Goblin	Goblin	3	 4-8	Swordsman	Swordsman	3	 1-3	0	0	1	 1-3	4	PLAINS	0	Home town map--hills and scattered trees.  Water ok		x
3	Erathia	Out03.odm	0	0	3	112	7	3	3	2	1	15	0	100	0	Fighter Leather	Fighter Leather	2	 2-4	Griffin	Griffin	1	 2-4	0	0	1	 1-3	17	PLAINS	0	Human Capital--low hills, river (with fort built on top), near lake		
4	The Tularean Forest	Out04.odm	0	0	4	112	7	3	4	2	1	15	100	0	0	Treant	Treant	2	 1-1	Elf Archer	Elf Archer	4	 3-5	Fighter Chain	Fighter Chain	3	 2-5	18	FOREST	0	Elvish capital--Cliffs, waterfalls, forest		
5	Deyja	Out05.odm	0	0	6	56	7	5	6	3	2	15	0	100	0	Skeleton Warrior	Skeleton Warrior	1	 3-7	Zombie	Zombie	2	 3-6	Ghoul	Ghoul	3	 2-4	2	MOUNTAIN	0	Necromancer zone--wasteland		
6	The Bracada Desert	Out06.odm	0	0	6	84	7	5	6	3	2	15	0	100	0	Golem	Golem	2	 2-4	Griffin	Griffin	3	 2-5	0	0	1	 1-3	2	MOUNTAIN	0	Wizard's area--desert w/ oasis, sharp mountains		
7	Celeste	d25.blv	0	0	20	112	7	10	20	7	4	0	40	30	30	Angel	Angel	3	 1-3	Roc	Roc	3	 1-3	Mage	Mage	3	 2-5	10	CITY	0	Cloud city		
8	The Pit	d26.blv	0	0	20	112	7	10	20	7	4	0	40	30	30	Lich	Lich	3	 1-4	Necromancer	Necromancer	3	 1-4	Vampire	Vampire	3	 2-5	7	CAVE	0	Underground undead city (indoor map)		
9	Evenmorn Island	Out09.odm	0	0	8	84	7	5	8	4	2	15	100	0	0	Skeleton Warrior	Skeleton Warrior	3	 4-9	Ghost	Ghost	2	 3-7	Gargoyle	Gargoyle	1	 1-4	6	PLAINS	0	Haunted island of the church of the sun and moon. Perm. fog		
10	Mount Nighon	Out10.odm	0	0	10	84	7	7	10	5	4	15	0	100	0	Warlock	Warlock	2	 2-4	Roc	Roc	3	 1-4	Hydra	Hydra	1	 2-5	11	MOUNTAIN	0	Warlock Capital--Snowy mountains.  Warlock home inside of volcano		
11	The Barrow Downs	Out11.odm	0	0	5	56	7	5	5	3	2	15	0	100	0	Skeleton Warrior	Skeleton Warrior	1	 3-8	Ghost	Ghost	1	 1-4	Harpy	Harpy	1	 2-4	12	MOUNTAIN	0	Dwarvish lands (no dwarves outside)--rough hills, rocky		
12	The Land of the Giants	Out12.odm	0	0	20	112	7	5	20	9	6	15	100	0	0	Dragon	Dragon	3	 1-2	Titan	Titan	3	 1-2	Devil	Devil	3	 2-4	12	MOUNTAIN	0	devils, titans, dragons--mountainous and desolate		
13	Tatalia	Out13.odm	0	0	8	84	7	5	8	4	3	15	100	0	0	Archer	Archer	3	 2-5	Griffin	Griffin	3	 1-3	Troll	Troll	3	 1-3	4	PLAINS	0	human territory--swampy with some nice, cultivated areas		
14	Avlee	Out14.odm	0	0	8	84	7	5	8	4	3	15	0	100	0	Elf Spearman	Elf Spearman	3	 2-4	Wyvern	Wyvern	2	 1-3	Elemental Water	Elemental Water	3	 1-4	4	FOREST	0	Elvish territory--slightly tropical, nice beach, lush		
15	Shoals	Out15.odm	0	0	1	28	7	0	1	1	1	100	100	0	0	Sea Monster	Sea Monster	5	 1-4	0	0	1	 1-3	0	0	1	 1-3	9	UNDERWATER	0	Underwater terrain		
16	The Dragon Caves	mdt12.blv	0	0	20	84	7	15	20	10	6	15	100	0	0	Dragon	Dragon	5	 2-3	0	0	1	 1-3	0	0	1	 1-3	16	CAVE	0	Repeatable map (needs special coding)		
17	Lord Markham's Manor	d18.blv	0	0	10	168	7	10	10	5	2	15	50	50	0	Fighter Plate	Fighter Plate	1	 1-2	Swordsman	Swordsman	4	 3-8	0	0	1	 1-3	19	CAVE	0	Repeatable map (needs special coding)		
18	The Bandit Caves	mdt14.blv	0	0	6	84	7	10	6	3	1	15	50	50	0	Thief	Thief	2	 3-6	Fighter Leather	Fighter Leather	2	 2-5	0	0	1	 1-3	19	CAVE	0	Repeatable map (needs special coding)		
19	The Haunted Mansion	d37.blv	0	0	12	56	7	10	12	6	2	15	30	30	40	Ghoul	Ghoul	2	 2-5	Wight	Wight	3	 2-5	Ghost	Ghost	2	 2-4	3	CAVE	0	Repeatable map (needs special coding)		
20	The Temple of the Moon	d06.blv	0	0	0	112	7	10	0	1	0	15	40	30	30	Goblin	Goblin	1	 2-4	Rat	Rat	1	 3-7	Spider	Spider	1	 2-5	13	CAVE	0	Half cave, half ruined temple of the moon	1	x
21	Castle Harmondale	d29.blv	0	0	1	1680	7	10	1	1	1	15	30	40	30	Goblin	Goblin	3	 4-8	Zombie	Zombie	2	 2-5	Bat	Bat	1	 3-8	19	STONEROOM	0	Expandable player castle (starts with monsters)	2	x
22	White Cliff Cave	d21.blv	0	0	2	56	7	10	2	1	1	15	100	0	0	Troglodyte	Troglodyte	1	 2-5	Bat	Bat	1	 3-6	0	0	1	 1-3	3	CAVE	0	Goblin caves.  Good place to put gold from robbed bank and new monsters	2	x
23	The Erathian Sewers	d01.blv	0	0	5	28	7	10	5	2	1	15	100	0	0	Thief	Thief	1	 3-5	Rat	Rat	3	 4-7	Bat	Bat	1	 4-7	3	CAVE	0	Thief guild and sewers.  Many entrance/exits.  Golem guarded treasure	3	
24	Fort Riverstride	d31.blv	0	0	4	112	7	10	4	3	2	15	0	100	0	Swordsman	Swordsman	2	 4-7	Fighter Chain	Fighter Chain	2	 3-5	Archer	Archer	3	 3-8	19	STONEROOM	0	Erathian border fort.  Fort lies ontop of river. (fortified bridge)	3	x
25	The Tularean Caves	d08.blv	0	0	4	112	7	10	4	3	2	15	100	0	0	Troglodyte	Troglodyte	2	 3-8	Elf Spearman	Elf Spearman	2	 3-6	Wyvern	Wyvern	1	 1-4	3	CAVE	0	Caves near the elvish castle. Used as POW camp for humans.  Secret entrance to castle thru here	4	x
26	Clanker's Laboratory	d12.blv	0	0	14	112	7	10	14	7	4	15	100	0	0	Beholder	Beholder	1	 2-4	Gog	Gog	5	 2-5	Golem	Golem	3	 1-4	3	CAVE	0	"small laboratory.  Good place for ""experimental"" items."	4	x
27	The Hall of the Pit	t04.blv	0	0	9	28	7	10	9	4	2	15	0	100	0	Necromancer	Necromancer	1	 1-3	Gargoyle	Gargoyle	2	 3-5	Zombie	Zombie	4	 5-9	3	CAVE	0	Entrance to The Pit.  Small guard station.	5	
28	Watchtower 6	d15.blv	0	0	11	112	7	10	11	6	4	15	40	30	30	Necromancer	Necromancer	2	 1-4	Lich	Lich	1	 2-4	Elemental Earth	Elemental Earth	2	 2-3	3	CAVE	0	Last remaining Necromancer border watchtower.	5	
29	The School of Sorcery	d14.blv	0	0	10	112	7	10	10	5	3	15	100	0	0	Mage	Mage	2	 2-5	Golem	Golem	3	 1-3	0	0	1	 1-3	19	CAVE	0	The place where all sorcerers learn their craft.	6	
30	The Red Dwarf Mines	d34.blv	0	0	5	84	7	10	5	2	2	15	100	0	0	Medusa	Medusa	1	 1-4	Ooze	Ooze	3	 3-5	0	0	1	 1-3	3	CAVE	0	Mine taken over by medusas.  Dwarves here are statues to be rescued	6	x
31	The Walls of Mist	d11.blv	0	0	10	0	7	10	10	5	2	15	40	30	30	Mage	Mage	3	 2-3	Elemental Air	Elemental Air	3	 2-5	Genie	Genie	3	 2-4	3	CAVE	0	"training ground for the cloud city.  Walls are made of ""mist"""	7	x
32	Temple of the Light	t01.blv	0	0	15	168	7	10	15	8	5	15	40	30	30	Cleric Sun	Cleric Sun	3	 2-5	Angel	Angel	3	 1-3	Monk	Monk	5	 2-4	13	STONEROOM	0	revival branch of the Church of the Sun	7	x
