Default Monster Data					Stats								Movement and Combat					Attack 1			Attack 2			    Spell Attack		    Spell Attack 2		Resistances										Misc
#	Name	Picture	LVL	 HP 	AC	 EXP 	Treasure	Quest	Fly	Move	AI Type	Hst	Spd	Rec	Pref	Bonus	Type	Damage	Miss	Att%	Type	Damage	Miss	Use%	Spl,Mas,Skil	Use%	Spl,Mas,Skil	Fire	Air	Water	Earth	Mind	Spirit	Body	Light	Dark	Phys	Special

	A		0
1	Angel	Angel A	43	730	30	4085	6%197D7+L4Sword	1	Y	Free	Aggress	3	625	60	0	0	Phys	2D10+5	0	0	0	0	0	43	"Light Bolt,M,8"	29	"Dispel Magic,M,8"	25	30	30	25	30	25	30	Imm	10	30	0
2	Archangel	Angel B	56	1130	42	6776	12%197D10+L5Sword	1	Y	Free	Aggress	3	779	50	0	0	Phys	3D7+5	0	0	0	0	0	43	"Light Bolt,M,12"	72	"Day of Protection,M,12"	30	40	40	30	40	30	40	Imm	15	40	0
3	Seraph	Angel C	70	1655	54	10430	18%105D28+L6Sword	1	Y	Free	Suicidal	3	957	40	2	Brkweapon	Phys	5D3+5	0	0	0	0	0	43	"Light Bolt,G,16"	72	"Hour of Power,G,16"	50	50	50	35	50	35	50	Imm	15	50	0
4	Archer	Archer A	28	375	16	1820	6%4D22+L1Bow	1	N	Short	Normal	4	234	90	AR	0	Phys	2D7+5	Arrow	14	Fire	4D5+5	FireAr	0	0	72	"Shield,N,4"	5	15	5	5	15	5	5	0	0	5	0
5	Elite Archer	Archer B	34	500	19	2618	6%10D18+L2Bow	1	N	Short	Aggress	4	266	90	AR	0	Phys	4D5+5	Arrow	14	Fire	2D17+5	FireAr	29	"Lightning Bolt,E,4"	72	"Shield,E,8"	10	20	10	10	20	10	10	0	0	10	0
6	Yeoman	Archer C	40	650	26	3560	12%79D3+L3Bow	1	N	Short	Aggress	4	300	80	AR	BrkItem	Phys	4D7+5	Arrow	21	Fire	4D9+5	FireAr	29	"Lightning Bolt,M,8"	72	"Shield,M,12"	10	20	10	10	20	10	10	0	0	10	0
7	Giant Bat	Bat A	7	65	10	161	0	1	Y	Free	Normal	3	442	50	0	Disease1	Phys	2D3+5	0	0	0	0	0	0	0	0	0	0	5	5	5	0	0	0	0	0	0	0
8	Inferno Bat	Bat B	9	85	12	243	6%L1Ring	1	Y	Free	Normal	3	489	50	0	Disease1	Phys	2D3+5	0	0	0	0	0	0	0	0	0	10	5	5	5	0	0	0	0	0	0	0
